Test ID,Suite,Description,priority ,Failure reason
access-control-one-process-per-container,access-control,Check that all containers under test have only one process running,3,"Container: Reason For Non Compliance=Container has more than one process running; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Container Name=agent Container: Reason For Non Compliance=Container has more than one process running; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Container Name=agent Container: Reason For Non Compliance=Container has more than one process running; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt; Container Name=agent Container: Reason For Non Compliance=Container has more than one process running; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd; Container Name=agent Container: Reason For Non Compliance=Container has more than one process running; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf; Container Name=agent Container: Reason For Non Compliance=Container has more than one process running; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk; Container Name=agent Log: [ERROR] [Apr 16 14:47:52.304] [suite.go: 799] [access-control-one-process-per-container] Container ""container: agent pod: nedr-agent-4pnr4 ns: nedr-agent"" has more than one process running [ERROR] [Apr 16 14:47:53.138] [suite.go: 799] [access-control-one-process-per-container] Container ""container: agent pod: nedr-agent-5wfwt ns: nedr-agent"" has more than one process running [ERROR] [Apr 16 14:47:53.841] [suite.go: 799] [access-control-one-process-per-container] Container ""container: agent pod: nedr-agent-6jqqt ns: nedr-agent"" has more than one process running [ERROR] [Apr 16 14:47:54.506] [suite.go: 799] [access-control-one-process-per-container] Container ""container: agent pod: nedr-agent-hrcdd ns: nedr-agent"" has more than one process running [ERROR] [Apr 16 14:47:55.073] [suite.go: 799] [access-control-one-process-per-container] Container ""container: agent pod: nedr-agent-ll4bf ns: nedr-agent"" has more than one process running [ERROR] [Apr 16 14:47:55.693] [suite.go: 799] [access-control-one-process-per-container] Container ""container: agent pod: nedr-agent-pnrjk ns: nedr-agent"" has more than one process running"
access-control-pod-automount-service-account-token,access-control,Check that all pods under test have automountServiceAccountToken set to false. Only pods that require access to the kubernetes API server should have automountServiceAccountToken set to true,1,"Pod: Reason For Non Compliance=serviceaccount nedr-agent:nedr-agent-sa is not configured with automountServiceAccountToken set to false, impacting pod nedr-agent-4pnr4; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4 Pod: Reason For Non Compliance=serviceaccount nedr-agent:nedr-agent-sa is not configured with automountServiceAccountToken set to false, impacting pod nedr-agent-5wfwt; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt Pod: Reason For Non Compliance=serviceaccount nedr-agent:nedr-agent-sa is not configured with automountServiceAccountToken set to false, impacting pod nedr-agent-6jqqt; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt Pod: Reason For Non Compliance=serviceaccount nedr-agent:nedr-agent-sa is not configured with automountServiceAccountToken set to false, impacting pod nedr-agent-hrcdd; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd Pod: Reason For Non Compliance=serviceaccount nedr-agent:nedr-agent-sa is not configured with automountServiceAccountToken set to false, impacting pod nedr-agent-ll4bf; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf Pod: Reason For Non Compliance=serviceaccount nedr-agent:nedr-agent-sa is not configured with automountServiceAccountToken set to false, impacting pod nedr-agent-pnrjk; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk Log: [ERROR] [Apr 16 14:47:51.617] [suite.go: 755] [access-control-pod-automount-service-account-token] serviceaccount nedr-agent:nedr-agent-sa is not configured with automountServiceAccountToken set to false, impacting pod nedr-agent-4pnr4 [ERROR] [Apr 16 14:47:51.617] [suite.go: 755] [access-control-pod-automount-service-account-token] serviceaccount nedr-agent:nedr-agent-sa is not configured with automountServiceAccountToken set to false, impacting pod nedr-agent-5wfwt [ERROR] [Apr 16 14:47:51.617] [suite.go: 755] [access-control-pod-automount-service-account-token] serviceaccount nedr-agent:nedr-agent-sa is not configured with automountServiceAccountToken set to false, impacting pod nedr-agent-6jqqt [ERROR] [Apr 16 14:47:51.617] [suite.go: 755] [access-control-pod-automount-service-account-token] serviceaccount nedr-agent:nedr-agent-sa is not configured with automountServiceAccountToken set to false, impacting pod nedr-agent-hrcdd [ERROR] [Apr 16 14:47:51.617] [suite.go: 755] [access-control-pod-automount-service-account-token] serviceaccount nedr-agent:nedr-agent-sa is not configured with automountServiceAccountToken set to false, impacting pod nedr-agent-ll4bf [ERROR] [Apr 16 14:47:51.617] [suite.go: 755] [access-control-pod-automount-service-account-token] serviceaccount nedr-agent:nedr-agent-sa is not configured with automountServiceAccountToken set to false, impacting pod nedr-agent-pnrjk"
access-control-pod-host-ipc,access-control,Verifies that the spec.HostIpc parameter is set to false,1,"Pod: Reason For Non Compliance=HostIpc is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4 Pod: Reason For Non Compliance=HostIpc is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt Pod: Reason For Non Compliance=HostIpc is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt Pod: Reason For Non Compliance=HostIpc is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd Pod: Reason For Non Compliance=HostIpc is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf Pod: Reason For Non Compliance=HostIpc is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk Log: [ERROR] [Apr 16 14:47:51.590] [suite.go: 494] [access-control-pod-host-ipc] HostIpc is set in Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 494] [access-control-pod-host-ipc] HostIpc is set in Pod ""pod: nedr-agent-5wfwt ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 494] [access-control-pod-host-ipc] HostIpc is set in Pod ""pod: nedr-agent-6jqqt ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 494] [access-control-pod-host-ipc] HostIpc is set in Pod ""pod: nedr-agent-hrcdd ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 494] [access-control-pod-host-ipc] HostIpc is set in Pod ""pod: nedr-agent-ll4bf ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.591] [suite.go: 494] [access-control-pod-host-ipc] HostIpc is set in Pod ""pod: nedr-agent-pnrjk ns: nedr-agent""."
access-control-pod-host-network,access-control,Verifies that the spec.HostNetwork parameter is not set (not present),1,"Pod: Reason For Non Compliance=Host network is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4 Pod: Reason For Non Compliance=Host network is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt Pod: Reason For Non Compliance=Host network is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt Pod: Reason For Non Compliance=Host network is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd Pod: Reason For Non Compliance=Host network is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf Pod: Reason For Non Compliance=Host network is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk Log: [ERROR] [Apr 16 14:47:51.590] [suite.go: 450] [access-control-pod-host-network] Host network is set to true in Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 450] [access-control-pod-host-network] Host network is set to true in Pod ""pod: nedr-agent-5wfwt ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 450] [access-control-pod-host-network] Host network is set to true in Pod ""pod: nedr-agent-6jqqt ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 450] [access-control-pod-host-network] Host network is set to true in Pod ""pod: nedr-agent-hrcdd ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 450] [access-control-pod-host-network] Host network is set to true in Pod ""pod: nedr-agent-ll4bf ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 450] [access-control-pod-host-network] Host network is set to true in Pod ""pod: nedr-agent-pnrjk ns: nedr-agent""."
access-control-pod-host-path,access-control,Verifies that the spec.HostPath parameter is not set (not present),1,"Host Path: Reason For Non Compliance=Hostpath path is set; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Path=/ Host Path: Reason For Non Compliance=Hostpath path is set; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Path=/etc/system-release Host Path: Reason For Non Compliance=Hostpath path is set; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Path=/etc/os-release Host Path: Reason For Non Compliance=Hostpath path is set; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Path=/var/lib/rpm Host Path: Reason For Non Compliance=Hostpath path is set; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Path=/ Host Path: Reason For Non Compliance=Hostpath path is set; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Path=/etc/system-release Host Path: Reason For Non Compliance=Hostpath path is set; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Path=/etc/os-release Host Path: Reason For Non Compliance=Hostpath path is set; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Path=/var/lib/rpm (… 16 more non-compliant objects) Log: [ERROR] [Apr 16 14:47:51.590] [suite.go: 471] [access-control-pod-host-path] Hostpath path: ""/"" is set in Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 471] [access-control-pod-host-path] Hostpath path: ""/etc/system-release"" is set in Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 471] [access-control-pod-host-path] Hostpath path: ""/etc/os-release"" is set in Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 471] [access-control-pod-host-path] Hostpath path: ""/var/lib/rpm"" is set in Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 471] [access-control-pod-host-path] Hostpath path: ""/"" is set in Pod ""pod: nedr-agent-5wfwt ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.590] [suite.go: 471] [access-control-pod-host-path] Hostpath path: ""/etc/system-release"" is set in Pod ""pod: nedr-agent-5wfwt ns: nedr-agent""."
access-control-pod-host-pid,access-control,Verifies that the spec.HostPid parameter is set to false,1,"Pod: Reason For Non Compliance=HostPid is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4 Pod: Reason For Non Compliance=HostPid is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt Pod: Reason For Non Compliance=HostPid is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt Pod: Reason For Non Compliance=HostPid is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd Pod: Reason For Non Compliance=HostPid is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf Pod: Reason For Non Compliance=HostPid is set to true; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk Log: [ERROR] [Apr 16 14:47:51.591] [suite.go: 512] [access-control-pod-host-pid] HostPid is set in Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.591] [suite.go: 512] [access-control-pod-host-pid] HostPid is set in Pod ""pod: nedr-agent-5wfwt ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.591] [suite.go: 512] [access-control-pod-host-pid] HostPid is set in Pod ""pod: nedr-agent-6jqqt ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.591] [suite.go: 512] [access-control-pod-host-pid] HostPid is set in Pod ""pod: nedr-agent-hrcdd ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.591] [suite.go: 512] [access-control-pod-host-pid] HostPid is set in Pod ""pod: nedr-agent-ll4bf ns: nedr-agent"". [ERROR] [Apr 16 14:47:51.591] [suite.go: 512] [access-control-pod-host-pid] HostPid is set in Pod ""pod: nedr-agent-pnrjk ns: nedr-agent""."
access-control-pod-role-bindings,access-control,Ensures that a workload does not utilize RoleBinding(s) in a non-workload Namespace.,2,
access-control-pod-service-account,access-control,Tests that each workload Pod utilizes a valid Service Account. Default or empty service account is not valid.,1,
access-control-requests,access-control,Check that containers have resource requests specified in their spec. Set proper resource requests based on container use case.,2,
access-control-security-context,access-control,Checks the security context matches one of the 4 categories,2,"ContainerCategory: Reason For Non Compliance=container category is NOT category 1 or category NoUID0; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Container Name=agent; Category=CategoryID4(anything not matching lower category) ContainerCategory: Reason For Non Compliance=container category is NOT category 1 or category NoUID0; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Container Name=agent; Category=CategoryID4(anything not matching lower category) ContainerCategory: Reason For Non Compliance=container category is NOT category 1 or category NoUID0; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt; Container Name=agent; Category=CategoryID4(anything not matching lower category) ContainerCategory: Reason For Non Compliance=container category is NOT category 1 or category NoUID0; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd; Container Name=agent; Category=CategoryID4(anything not matching lower category) ContainerCategory: Reason For Non Compliance=container category is NOT category 1 or category NoUID0; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf; Container Name=agent; Category=CategoryID4(anything not matching lower category) ContainerCategory: Reason For Non Compliance=container category is NOT category 1 or category NoUID0; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk; Container Name=agent; Category=CategoryID4(anything not matching lower category) Log: [ERROR] [Apr 16 14:47:51.583] [suite.go: 1012] [access-control-security-context] Category ""Containername: agent Podname: nedr-agent-4pnr4 NameSpace: nedr-agent Category: CategoryID4(anything not matching lower category) \n "" is NOT category 1 or category NoUID0 [ERROR] [Apr 16 14:47:51.584] [suite.go: 1012] [access-control-security-context] Category ""Containername: agent Podname: nedr-agent-5wfwt NameSpace: nedr-agent Category: CategoryID4(anything not matching lower category) \n "" is NOT category 1 or category NoUID0 [ERROR] [Apr 16 14:47:51.584] [suite.go: 1012] [access-control-security-context] Category ""Containername: agent Podname: nedr-agent-6jqqt NameSpace: nedr-agent Category: CategoryID4(anything not matching lower category) \n "" is NOT category 1 or category NoUID0 [ERROR] [Apr 16 14:47:51.585] [suite.go: 1012] [access-control-security-context] Category ""Containername: agent Podname: nedr-agent-hrcdd NameSpace: nedr-agent Category: CategoryID4(anything not matching lower category) \n "" is NOT category 1 or category NoUID0 [ERROR] [Apr 16 14:47:51.586] [suite.go: 1012] [access-control-security-context] Category ""Containername: agent Podname: nedr-agent-ll4bf NameSpace: nedr-agent Category: CategoryID4(anything not matching lower category) \n "" is NOT category 1 or category NoUID0 [ERROR] [Apr 16 14:47:51.587] [suite.go: 1012] [access-control-security-context] Category ""Containername: agent Podname: nedr-agent-pnrjk NameSpace: nedr-agent Category: CategoryID4(anything not matching lower category) \n "" is NOT category 1 or category NoUID0"
access-control-security-context-non-root-user-id-check,access-control,Checks securityContext's runAsNonRoot and runAsUser fields at pod and container level to make sure containers are not run as root.,0,"Pod: Reason For Non Compliance=One or more containers of the pod are running with root user; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4 Container: Reason For Non Compliance=RunAsNonRoot is set to nil at pod and container level, RunAsUser is set to nil at pod and container level; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Container Name=agent Pod: Reason For Non Compliance=One or more containers of the pod are running with root user; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt Container: Reason For Non Compliance=RunAsNonRoot is set to nil at pod and container level, RunAsUser is set to nil at pod and container level; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Container Name=agent Pod: Reason For Non Compliance=One or more containers of the pod are running with root user; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt Container: Reason For Non Compliance=RunAsNonRoot is set to nil at pod and container level, RunAsUser is set to nil at pod and container level; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt; Container Name=agent Pod: Reason For Non Compliance=One or more containers of the pod are running with root user; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd Container: Reason For Non Compliance=RunAsNonRoot is set to nil at pod and container level, RunAsUser is set to nil at pod and container level; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd; Container Name=agent (… 4 more non-compliant objects) Log: [ERROR] [Apr 16 14:47:51.589] [suite.go: 361] [access-control-security-context-non-root-user-id-check] Pod nedr-agent/nedr-agent-4pnr4, container ""agent"" is not compliant: RunAsNonRoot is set to nil at pod and container level, RunAsUser is set to nil at pod and container level [ERROR] [Apr 16 14:47:51.589] [suite.go: 361] [access-control-security-context-non-root-user-id-check] Pod nedr-agent/nedr-agent-5wfwt, container ""agent"" is not compliant: RunAsNonRoot is set to nil at pod and container level, RunAsUser is set to nil at pod and container level [ERROR] [Apr 16 14:47:51.589] [suite.go: 361] [access-control-security-context-non-root-user-id-check] Pod nedr-agent/nedr-agent-6jqqt, container ""agent"" is not compliant: RunAsNonRoot is set to nil at pod and container level, RunAsUser is set to nil at pod and container level [ERROR] [Apr 16 14:47:51.589] [suite.go: 361] [access-control-security-context-non-root-user-id-check] Pod nedr-agent/nedr-agent-hrcdd, container ""agent"" is not compliant: RunAsNonRoot is set to nil at pod and container level, RunAsUser is set to nil at pod and container level [ERROR] [Apr 16 14:47:51.589] [suite.go: 361] [access-control-security-context-non-root-user-id-check] Pod nedr-agent/nedr-agent-ll4bf, container ""agent"" is not compliant: RunAsNonRoot is set to nil at pod and container level, RunAsUser is set to nil at pod and container level [ERROR] [Apr 16 14:47:51.589] [suite.go: 361] [access-control-security-context-non-root-user-id-check] Pod nedr-agent/nedr-agent-pnrjk, container ""agent"" is not compliant: RunAsNonRoot is set to nil at pod and container level, RunAsUser is set to nil at pod and container level"
access-control-security-context-privilege-escalation,access-control,Checks if privileged escalation is enabled (AllowPrivilegeEscalation=true).,1,
access-control-security-context-read-only-file-system,access-control,Checks the security context readOnlyFileSystem in containers is enabled. Containers should not try modify its own filesystem.,1,
access-control-service-type,access-control,Tests that each workload Service does not utilize NodePort(s).,1,
access-control-ssh-daemons,access-control,Check that pods do not run SSH daemons.,1,"Pod: Reason For Non Compliance=Pod is running an SSH daemon; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4 Pod: Reason For Non Compliance=Pod is running an SSH daemon; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt Pod: Reason For Non Compliance=Pod is running an SSH daemon; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt Pod: Reason For Non Compliance=Pod is running an SSH daemon; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd Pod: Reason For Non Compliance=Pod is running an SSH daemon; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf Pod: Reason For Non Compliance=Pod is running an SSH daemon; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk Log: [ERROR] [Apr 16 14:47:57.206] [suite.go: 947] [access-control-ssh-daemons] Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"" is running an SSH daemon [ERROR] [Apr 16 14:47:58.685] [suite.go: 947] [access-control-ssh-daemons] Pod ""pod: nedr-agent-5wfwt ns: nedr-agent"" is running an SSH daemon [ERROR] [Apr 16 14:48:00.342] [suite.go: 947] [access-control-ssh-daemons] Pod ""pod: nedr-agent-6jqqt ns: nedr-agent"" is running an SSH daemon [ERROR] [Apr 16 14:48:02.057] [suite.go: 947] [access-control-ssh-daemons] Pod ""pod: nedr-agent-hrcdd ns: nedr-agent"" is running an SSH daemon [ERROR] [Apr 16 14:48:03.473] [suite.go: 947] [access-control-ssh-daemons] Pod ""pod: nedr-agent-ll4bf ns: nedr-agent"" is running an SSH daemon [ERROR] [Apr 16 14:48:04.735] [suite.go: 947] [access-control-ssh-daemons] Pod ""pod: nedr-agent-pnrjk ns: nedr-agent"" is running an SSH daemon"
access-control-sys-admin-capability-check,access-control,Ensures that containers do not use SYS_ADMIN capability,1,
access-control-sys-nice-realtime-capability,access-control,"Check that pods running on nodes with realtime kernel enabled have the SYS_NICE capability enabled in their spec. In the case that a workolad is running on a node using the real-time kernel, SYS_NICE will be used to allow DPDK application to switch to SCHED_FIFO.",1,
access-control-sys-ptrace-capability,access-control,"Check that if process namespace sharing is enabled for a Pod then the SYS_PTRACE capability is allowed. This capability is required when using Process Namespace Sharing. This is used when processes from one Container need to be exposed to another Container. For example, to send signals like SIGHUP from a process in a Container to another process in another Container. For more information on these capabilities refer to https://cloud.redhat.com/blog/linux-capabilities-in-openshift and https://kubernetes.io/docs/tasks/configure-pod-container/share-process-namespace/",1,
affiliated-certification-container-is-certified-digest,affiliated-certification,Tests whether container images that are autodiscovered have passed the Red Hat Container Certification Program by their digest(CCP).,4,
affiliated-certification-helm-version,affiliated-certification,Test to check if the helm chart is v3,3,
affiliated-certification-helmchart-is-certified,affiliated-certification,Tests whether helm charts listed in the cluster passed the Red Hat Helm Certification Program.,4,
affiliated-certification-operator-is-certified,affiliated-certification,Tests whether the workload Operators listed in the configuration file have passed the Red Hat Operator Certification Program (OCP).,4,
lifecycle-affinity-required-pods,lifecycle,Checks that affinity rules are in place if AffinityRequired: 'true' labels are set on Pods.,3,
